EC Number,Metabolite,Concentration,Km,Abbreviation,[Met]/Km,Organism
1.1.1.1,NAD+,5.02E-4,9.75E-5,nad,5.15E+0,Homo sapiens
1.1.1.1,NADH,7.50E-5,2.63E-4,nadh,2.86E-1,Homo sapiens
1.1.1.10,NAD+,5.02E-4,9.90E-4,nad,5.07E-1,Mus musculus
1.1.1.10,NADH,7.50E-5,2.20E-4,nadh,3.41E-1,Mus musculus
1.1.1.10,NADP+,2.84E-5,3.00E-6,nadp,9.47E+0,Mus musculus
1.1.1.10,NADPH,6.54E-5,5.00E-6,nadph,1.31E+1,Mus musculus
1.1.1.100,NADPH,6.54E-5,3.00E-5,nadph,2.18E+0,Homo sapiens
1.1.1.101,NADPH,6.54E-5,5.25E-6,nadph,1.25E+1,Homo sapiens
1.1.1.102,NADPH,6.54E-5,2.80E-5,nadph,2.34E+0,Homo sapiens
1.1.1.105,NAD+,5.02E-4,2.94E-6,nad,1.71E+2,Homo sapiens
1.1.1.105,NADH,7.50E-5,1.10E-4,nadh,6.82E-1,Homo sapiens
1.1.1.105,NADP+,2.84E-5,2.70E-5,nadp,1.05E+0,Homo sapiens
1.1.1.105,NADPH,6.54E-5,1.50E-6,nadph,4.36E+1,Homo sapiens
1.1.1.141,NAD+,5.02E-4,3.62E-5,nad,1.39E+1,Homo sapiens
1.1.1.141,NADH,7.50E-5,3.04E-5,nadh,2.47E+0,Homo sapiens
1.1.1.145,NAD+,5.02E-4,2.63E-5,nad,1.91E+1,Homo sapiens
1.1.1.145,NADP+,2.84E-5,3.00E-7,nadp,9.47E+1,Homo sapiens
1.1.1.145,NADPH,6.54E-5,3.00E-7,nadph,2.18E+2,Homo sapiens
1.1.1.146,NAD+,5.02E-4,1.47E-6,nad,3.42E+2,Homo sapiens
1.1.1.146,NADH,7.50E-5,7.91E-4,nadh,9.49E-2,Homo sapiens
1.1.1.146,NADP+,2.84E-5,1.08E-6,nadp,2.63E+1,Homo sapiens
1.1.1.146,NADPH,6.54E-5,1.42E-4,nadph,4.61E-1,Homo sapiens
1.1.1.149,NADPH,6.54E-5,2.00E-7,nadph,3.27E+2,Homo sapiens
1.1.1.153,NADPH,6.54E-5,6.00E-6,nadph,1.09E+1,Homo sapiens
1.1.1.172,NADH,7.50E-5,1.10E-5,nadh,6.82E+0,Homo sapiens
1.1.1.184,NADPH,6.54E-5,4.92E-5,nadph,1.33E+0,Homo sapiens
1.1.1.188,NADPH,6.54E-5,8.25E-6,nadph,7.93E+0,Mus musculus
1.1.1.189,NADPH,6.54E-5,1.60E-6,nadph,4.09E+1,Homo sapiens
1.1.1.2,NADPH,6.54E-5,2.22E-5,nadph,2.94E+0,Homo sapiens
1.1.1.205,IMP,1.23E-5,2.47E-5,imp,4.98E-1,Mus musculus
1.1.1.205,NAD+,5.02E-4,2.50E-5,nad,2.01E+1,Mus musculus
1.1.1.21,NADH,7.50E-5,3.94E-4,nadh,1.91E-1,Homo sapiens
1.1.1.21,NADPH,6.54E-5,1.71E-5,nadph,3.83E+0,Homo sapiens
1.1.1.22,UDP-glucose,1.53E-3,1.94E-5,udpg ,7.85E+1,Homo sapiens
